[raw_daily / RAW]
datetime,open,high,low,close,volume
[/raw_daily / RAW]
[updown_bb / WAVE_S]
datetime,open,high,low,close,volume,upbb_u,upbb_m,upbb_l,rsi,stoch
2026-05-19 08,99700,99700,96700,99533.333,303581.666666667,117179.42,103357.51,88220.25,28.16,10.62
2026-05-19 16,99533.333,105366.667,99533.333,105366.667,303581.666666667,115328.51,102145.58,88819.33,31.74,13.84
2026-05-20 00,105366.667,107400,103600,103600,303581.666666667,112827.12,101257.42,89972.3,45.65,31.07
2026-05-20 08,101100,106700,97200,106700,512354,110779.07,100754.31,90708.43,48.38,42.77
2026-05-20 16,106700,120100,106700,120100,512354,111720.12,100433.25,91800.98,55.09,62.16
2026-05-21 00,120100,129500,120100,125500,512354,116619.94,100956.48,90831.85,71.14,81.08
2026-05-21 08,110000,118200,109100,118200,268000.333333333,120639.61,102675.62,88335.69,78.47,90.54
2026-05-21 16,118200,128200,118200,128200,268000.333333333,125129.59,104396.84,88082.4,78.49,95.27
2026-05-22 00,128200,135000,128200,131800,268000.333333333,130420.05,106842.73,88221.92,82.8,97.64
2026-05-23 08,122700,128733.333,120600,128733.333,436779.333333333,134016.85,109704.52,88112.62,85.58,98.82
2026-05-24 16,128733.333,138966.667,128733.333,138966.667,436779.333333333,137916.61,112604.35,89057.23,86.15,99.41
2026-05-26 00,138966.667,141000,132800,132800,436779.333333333,141524.26,115969.43,90529.6,88.86,99.7
2026-05-26 08,136000,141000,136000,137666.667,311702.333333333,144197.5,119047.43,92343.2,88.88,99.85
2026-05-26 16,137666.667,137666.667,129333.333,129333.333,311702.333333333,144656.13,122297.93,95104.44,89.98,99.93
2026-05-27 00,129333.333,129333.333,121500,122000,311702.333333333,144707.35,125370.06,100387.64,90,99.96
2026-05-27 08,139000,139000,125933.333,125933.333,336318.666666667,144949.52,127483.46,105804.43,79.58,94.58
2026-05-27 16,125933.333,125933.333,112866.667,112866.667,336318.666666667,143920.18,128881.96,109024.42,75.31,88.48
2026-05-28 00,112866.667,116200,108000,116200,336318.666666667,142079.15,129489.56,111739.17,53.29,54.98
2026-05-28 08,121500,121500,113633.333,113633.333,292462.666666667,142843.72,129590.53,112565.08,52.72,38.76
2026-05-28 16,113633.333,113633.333,108000,110233.333,292462.666666667,143805.43,128881.78,110055.71,44.74,24.52
2026-05-29 00,110233.333,118100,110233.333,118100,292462.666666667,145612.47,127802.77,107719.25,40.05,14.41
2026-05-30 00,118900,119900,113866.667,113866.667,476155,145664.92,126195.55,105543.5,40.05,9.35
2026-05-31 00,113866.667,113866.667,106833.333,106833.333,476155,144242.39,124527.53,103779.03,39,6.05
2026-06-01 00,106833.333,106833.333,100000,100200,476155,142239.44,122222.02,102177.39,32.43,3.7
2026-06-01 08,118500,118500,104866.667,104866.667,409497,139423.78,119912.83,101061.27,32.43,11.95
2026-06-01 16,104866.667,104866.667,91233.333,91233.333,409497,135822.73,117708.96,99022.37,30.03,14.27
2026-06-02 00,91233.333,104400,91000,104400,409497,131188.84,114804.64,95577.8,20.87,7.47
2026-06-02 16,100300,100300,91000,97933.333,329649.666666667,127672.25,112689.15,91894.35,20.87,4.07
2026-06-03 08,97933.333,114166.667,97933.333,114166.667,329649.666666667,125722.28,110560.9,89531.57,20.5,5.7
2026-06-04 00,114166.667,121900,113400,113400,329649.666666667,123163.61,109311.23,88364.14,36.13,22.32
2026-06-04 08,106000,121900,106000,121733.333,358003,122579.99,108612.19,88942.84,43.19,39.28
2026-06-04 16,121733.333,121733.333,105666.667,105666.667,358003,122381.71,108288.06,89896.58,51.32,60.96
2026-06-05 00,105666.667,105666.667,96300,103000,358003,122179.1,108020.81,90849.29,51.32,80.48
2026-06-06 00,100000,100000,89000,90933.333,231035,121637.06,107780.87,90417.63,43.71,75.73
2026-06-07 00,90933.333,103866.667,90933.333,103866.667,231035,121808.02,106829.34,90037.77,33.18,46.23
2026-06-08 00,103866.667,108400,100000,100000,231035,121590.52,105971.48,89259.61,32.46,29.2
2026-06-08 08,91200,98033.333,89000,98033.333,311693,121741.32,105927.83,88690.48,32.46,20.69
2026-06-08 16,98033.333,109266.667,98033.333,109266.667,311693,121930.7,105716.44,88518.33,30.16,17.33
